vehicle_type,model,mae,rmse,mape
Auto,baseline_naive,1.4198609334701937,1.5906193516009515,88.74928612221588
Auto,prophet,0.3473632642615959,0.442010322252655,7457078.142488075
Bike,baseline_naive,0.6261722568670084,0.7472959339799197,13102928.047824701
Bike,prophet,0.3818500082540291,0.4686358334142088,9980261.450173039
Go Mini,baseline_naive,0.7746819793765,0.9069100837134522,8867256.876152098
Go Mini,prophet,0.36847270021377193,0.45317711698128,7339890.223817613
Go Sedan,baseline_naive,0.7173050487989809,0.8431610369352946,10450685.535901122
Go Sedan,prophet,0.3762301449459131,0.4619722453893911,8938919.305432392
Premier Sedan,baseline_naive,0.9096053259765634,1.1074045538395008,75.4857142857143
Premier Sedan,prophet,0.39245364967813734,0.477827600551793,13046899.764183758
Uber XL,baseline_naive,0.31774561237198795,0.5314477044191134,38.4351798972016
Uber XL,prophet,0.3317480127627006,0.3933366841936488,16506413.465236697
eBike,baseline_naive,0.4499227266784632,0.5576548526572995,25295334.462782215
eBike,prophet,0.38112318698288766,0.46736803051606324,15951061.381181216
